Question,Answer,Difficulty
What is transfer learning? How does it work?,"Given a source domain D_S and learning task T_S, a target domain D_T and learning task T_T, transfer learning aims to help improve the learning of the target predictive function f_T in D_T using the knowledge in D_S and T_S, where D_S ≠ D_T,or T_S ≠ T_T. In other words, transfer learning enables to reuse knowledge coming from other domains or learning tasks.",medium
"In the context of CNNs, we can use networks that were pre-trained on popular datasets such as ImageNet. We then can use the weights of the layers that learn to represent features and combine them with a new set of layers that learns to map the feature representations to the given classes. Two popular strategies are either to freeze the layers that learn the feature representations completely, or to give them a smaller learning rate.",<br/>,
What is object detection? Do you know any architectures for that?,Object detection is finding Bounding Boxes around objects in an image.,expert
"YOLO, Faster RCNN, Center Net",<br/>,
What is object segmentation? Do you know any architectures for that?,Object Segmentation is predicting masks. It does not differentiate objects.,expert
"Mask RCNN, UNet",<br/>,
How can we use machine learning for text classification?,"Machine learning classification algorithms predict a class based on a numerical feature representation. This means that in order to use machine learning for text classification, we need to extract numerical features from our text data first before we can apply machine learning algorithms. Common approaches to extract numerical features from text data are bag of words, N-grams or word embeddings.",medium
What is bag of words? How we can use it for text classification?,"Bag of Words is a representation of text that describes the occurrence of words within a document. The order or structure of the words is not considered. For text classification, we look at the histogram of the words within the text and consider each word count as a feature.",medium
What are the advantages and disadvantages of bag of words?,Advantages:,medium
1. Simple to understand and implement.,Disadvantages:,
"3. Discarding word order ignores the context, and in turn meaning of words in the document. Context and meaning can offer a lot to the model, that if modeled could tell the difference between the same words differently arranged (“this is interesting” vs “is this interesting”), synonyms (“old bike” vs “used bike”).",<br/>,
What are N-grams? How can we use them?,The function to tokenize into consecutive sequences of words is called n-grams. It can be used to find out N most co-occurring words (how often word X is followed by word Y) in a given sentence.,medium
How large should be N for our bag of words when using N-grams?,Answer here,medium
What is TF-IDF? How is it useful for text classification?,"Term Frequency (TF) is a scoring of the frequency of the word in the current document. Inverse Document Frequency(IDF) is a scoring of how rare the word is across documents. It is used in scenario where highly recurring words may not contain as much informational content as the domain specific words. For example, words like “the” that are frequent across all documents therefore need to be less weighted. The TF-IDF score highlights words that are distinct (contain useful information) in a given document.",medium
Which model would you use for text classification with bag of words features?,1. Bag Of Words model,medium
6. Bidirectional Encoder Representations from Transformers (BERT),<br/>,
Would you prefer gradient boosting trees model or logistic regression when doing text classification with bag of words?,Usually logistic regression is better because bag of words creates a matrix with large number of columns. For a huge number of columns logistic regression is usually faster than gradient boosting trees.,medium
What are word embeddings? Why are they useful? Do you know Word2Vec?,"Word Embeddings are vector representations for words. Each word is mapped to one vector, this vector tries to capture some characteristics of the word, allowing similar words to have similar vector representations.",medium
Word Embeddings helps in capturing the inter-word semantics and represents it in real-valued vectors.,<br/>,
Word2Vec is a method to construct such an embedding. It takes a text corpus as input and outputs a set of vectors which represents words in that corpus.,It can be generated using two methods:,
- Skip-Gram,<br/>,
Do you know any other ways to get word embeddings?,- TF-IDF,expert
"If you have a sentence with multiple words, you may need to combine multiple word embeddings into one. How would you do it?",Approaches ranked from simple to more complex:,medium
3. Use ML model like LSTM or Transformer.,<br/>,
Would you prefer gradient boosting trees model or logistic regression when doing text classification with embeddings?,Answer here,medium
How can you use neural nets for text classification?,Answer here,expert
How can we use CNN for text classification?,Answer here,expert
What is unsupervised learning?,Unsupervised learning aims to detect patterns in data where no labels are given.,easy
What is clustering? When do we need it?,Clustering algorithms group objects such that similar feature points are put into the same groups (clusters) and dissimilar feature points are put into different clusters.,easy
Do you know how K-means works?,1. Partition points into k subsets.,medium
4. Go back to step 2 or stop when the assignment does not change.,<br/>,
"Average silhouette method: compute the clusters for different values of k, for each k, calculate the average silhouette of observations, plot the silhouette according to the number of clusters and select the maximum as the number of clusters.",<br/>,
Density-Based Spatial Clustering of Applications with Noise (DBSCAN): Cluster defined as maximum set of density-connected points.,<br/>,
"p_j is a directly density-reachable point of the neighborhood of p_i if dist(p_i,p_j) <= epsilon.",<br/>,
"K-means has a lower complexity, i.e. it will be much faster, especially with a larger amount of points.",<br/>,
What is the curse of dimensionality? Why do we care about it?,"Data in only one dimension is relatively tightly packed. Adding a dimension stretches the points across that dimension, pushing them further apart. Additional dimensions spread the data even further making high dimensional data extremely sparse. We care about it, because it is difficult to use machine learning in sparse spaces.",medium
Fourier and Wavelet Transforms,<br/>,
"Having calculated the eigenvectors and eigenvalues, we can use the Kaiser-Guttman criterion, a scree plot or the proportion of explained variance to determine the principal components (i.e. the final dimensionality) that are useful for dimensionality reduction.",<br/>,
What is the ranking problem? Which models can you use to solve them?,Answer here,medium
What are good unsupervised baselines for text information retrieval?,Answer here,medium
How would you evaluate your ranking algorithms? Which offline metrics would you use?,Answer here,medium
What is precision and recall at k?,Precision at k and recall at k are evaluation metrics for ranking algorithms. Precision at k shows the share of relevant items in the first *k* results of the ranking algorithm. And Recall at k indicates the share of relevant items returned in top *k* results out of all correct answers for a given query.,medium
Recall at 5 = # num of relevant products in search result / # num of all relevant products = 2/3 = 66.6%,<br/>,
What is mean average precision at k?,Answer here,medium
How can we use machine learning for search?,Answer here,medium
How can we get training data for our ranking algorithms?,Answer here,medium
Can we formulate the search problem as a classification problem? How?,Answer here,medium
How can we use clicks data as the training data for ranking algorithms?,Answer here,expert
Do you know how to use gradient boosting trees for ranking?,Answer here,expert
How do you do an online evaluation of a new ranking algorithm?,Answer here,medium
What is a recommender system?,Recommender systems are software tools and techniques that provide suggestions for items that are most likely of interest to a particular user.,easy
A user should explore new items.,<br/>,
"Collaborative filtering does only need a rating matrix as input and improves over time. However, it does not work well on sparse data, does not work for cold starts (see below) and usually tends to overfit.",<br/>,
"How we can incorporate implicit feedback (clicks, etc) into our recommender systems?","In comparison to explicit feedback, implicit feedback datasets lack negative examples. For example, explicit feedback can be a positive or a negative rating, but implicit feedback may be the number of purchases or clicks. One popular approach to solve this problem is named weighted alternating least squares (wALS) [Hu, Y., Koren, Y., & Volinsky, C. (2008, December). Collaborative filtering for implicit feedback datasets. In Data Mining, 2008. ICDM'08. Eighth IEEE International Conference on (pp. 263-272). IEEE.]. Instead of modeling the rating matrix directly, the numbers (e.g. amount of clicks) describe the strength in observations of user actions. The model tries to find latent factors that can be used to predict the expected preference of a user for an item.",medium
What is the cold start problem?,"Collaborative filterung incorporates crowd knowledge to give recommendations for certain items. Say we want to recommend how much a user will like an item, we then will calculate the score using the recommendations of other users for this certain item. We can distinguish between two different ways of a cold start problem now. First, if there is a new item that has not been rated yet, we cannot give any recommendation. Also, when there is a new user, we cannot calculate a similarity to any other user.",medium
Demographic filtering incorporates user profiles to calculate a similarity between them and solves the cold start problem for new users.,<br/>,
What is a time series?,A time series is a set of observations ordered in time usually collected at regular intervals.,easy
How is time series different from the usual regression problem?,"The principle behind causal forecasting is that the value that has to be predicted is dependant on the input features (causal factors). In time series forecasting, the to be predicted value is expected to follow a certain pattern over time.",easy
"Deep learning approaches (RNN, LSTM, etc.)",<br/>,
"If there’s a trend in our series, how we can remove it? And why would we want to do it?","We can explicitly model the trend (and/or seasonality) with approaches such as Holt's Method or Holt-Winter's Method. We want to explicitly model the trend to reach the stationarity property for the data. Many time series approaches require stationarity. Without stationarity,the interpretation of the results of these analyses is problematic [Manuca, Radu & Savit, Robert. (1996). Stationarity and nonstationarity in time series analysis. Physica D: Nonlinear Phenomena. 99. 134-161. 10.1016/S0167-2789(96)00139-X. ].",medium
You have a series with only one variable “y” measured at time t. How do predict “y” at time t+1? Which approaches would you use?,We want to look at the correlation between different observations of y. This measure of correlation is called autocorrelation. Autoregressive models are multiple regression models where the time-lag series of the original time series are treated like multiple independent variables.,medium
You have a series with a variable “y” and a set of features. How do you predict “y” at t+1? Which approaches would you use?,"Given the assumption that the set of features gives a meaningful causation to y, a causal forecasting approach such as linear regression or multiple nonlinear regression might be useful. In case there is a lot of data and the explainability of the results is not a high priority, we can also consider deep learning approaches.",medium
What are the problems with using trees for solving time series problems?,Random Forest models are not able to extrapolate time series data and understand increasing/decreasing trends. It will provide us with average data points if the validation data has values greater than the training data points.,medium
